congress,publishdate,title,section,browseline1,firstpage,textfile
113,"February 18, 2014","Representative Steven M. Palazzo, Biography",REPRESENTATIVE,Steven M. Palazzo ,Mississippi (MS),CDIR-2014-02-18/html/CDIR-2014-02-18-MS-H-4.htm
113,"February 18, 2014","Representative Bennie G. Thompson, Biography",REPRESENTATIVE,Bennie G. Thompson ,Mississippi (MS),CDIR-2014-02-18/html/CDIR-2014-02-18-MS-H-2.htm
113,"February 18, 2014",Missouri State Delegation,STATEDELEGATION,Missouri (MO) Congressional Delegation ,Missouri (MO),CDIR-2014-02-18/html/CDIR-2014-02-18-MO.htm
113,"February 18, 2014","Senator Roy Blunt, Biography",SENATOR,Roy Blunt ,Missouri (MO),CDIR-2014-02-18/html/CDIR-2014-02-18-MO-S-2.htm
113,"February 18, 2014","Senator Claire Mccaskill, Biography",SENATOR,Claire McCaskill ,Missouri (MO),CDIR-2014-02-18/html/CDIR-2014-02-18-MO-S-1.htm
113,"February 18, 2014","Representative Wm. Lacy Clay, Biography",REPRESENTATIVE,Wm. Lacy Clay ,Missouri (MO),CDIR-2014-02-18/html/CDIR-2014-02-18-MO-H-1.htm
113,"February 18, 2014","Representative Sam Graves, Biography",REPRESENTATIVE,Sam Graves ,Missouri (MO),CDIR-2014-02-18/html/CDIR-2014-02-18-MO-H-6.htm
113,"February 18, 2014","Representative Vicky Hartzler, Biography",REPRESENTATIVE,Vicky Hartzler ,Missouri (MO),CDIR-2014-02-18/html/CDIR-2014-02-18-MO-H-4.htm
113,"February 18, 2014","Representative Emanuel Cleaver II, Biography",REPRESENTATIVE,EMANUEL CLEAVER II (MO) ,Missouri (MO),CDIR-2014-02-18/html/CDIR-2014-02-18-MO-H-5.htm
113,"February 18, 2014","Representative Billy Long, Biography",REPRESENTATIVE,Billy Long ,Missouri (MO),CDIR-2014-02-18/html/CDIR-2014-02-18-MO-H-7.htm
113,"February 18, 2014","Representative Blaine Luetkemeyer, Biography",REPRESENTATIVE,Blaine Luetkemeyer ,Missouri (MO),CDIR-2014-02-18/html/CDIR-2014-02-18-MO-H-3.htm
113,"February 18, 2014","Representative Jason Smith, Biography",REPRESENTATIVE,Jason Smith ,Missouri (MO),CDIR-2014-02-18/html/CDIR-2014-02-18-MO-H-8.htm
113,"February 18, 2014","Representative Ann Wagner, Biography",REPRESENTATIVE,Ann Wagner ,Missouri (MO),CDIR-2014-02-18/html/CDIR-2014-02-18-MO-H-2.htm
113,"February 18, 2014",Montana State Delegation,STATEDELEGATION,Montana (MT) Congressional Delegation ,Montana (MT),CDIR-2014-02-18/html/CDIR-2014-02-18-MT.htm
113,"February 18, 2014","Senator Jon Tester, Biography",SENATOR,Jon Tester ,Montana (MT),CDIR-2014-02-18/html/CDIR-2014-02-18-MT-S-1.htm
113,"February 18, 2014","Senator John E. Walsh, Biography",SENATOR,John E. Walsh ,Montana (MT),CDIR-2014-02-18/html/CDIR-2014-02-18-MT-S-2.htm
113,"February 18, 2014","Representative Steve Daines, Biography",REPRESENTATIVE,Steve Daines ,Montana (MT),CDIR-2014-02-18/html/CDIR-2014-02-18-MT-H-0.htm
113,"February 18, 2014",Nebraska State Delegation,STATEDELEGATION,Nebraska (NE) Congressional Delegation ,Nebraska (NE),CDIR-2014-02-18/html/CDIR-2014-02-18-NE.htm
113,"February 18, 2014","Senator Deb Fischer, Biography",SENATOR,Deb Fischer ,Nebraska (NE),CDIR-2014-02-18/html/CDIR-2014-02-18-NE-S-2.htm
113,"February 18, 2014","Senator Mike Johanns, Biography",SENATOR,Mike Johanns ,Nebraska (NE),CDIR-2014-02-18/html/CDIR-2014-02-18-NE-S-1.htm
113,"February 18, 2014","Representative Jeff Fortenberry, Biography",REPRESENTATIVE,Jeff Fortenberry ,Nebraska (NE),CDIR-2014-02-18/html/CDIR-2014-02-18-NE-H-1.htm
113,"February 18, 2014","Representative Adrian Smith, Biography",REPRESENTATIVE,Adrian Smith ,Nebraska (NE),CDIR-2014-02-18/html/CDIR-2014-02-18-NE-H-3.htm
113,"February 18, 2014","Representative Lee Terry, Biography",REPRESENTATIVE,Lee Terry ,Nebraska (NE),CDIR-2014-02-18/html/CDIR-2014-02-18-NE-H-2.htm
113,"February 18, 2014",Nevada State Delegation,STATEDELEGATION,Nevada (NV) Congressional Delegation ,Nevada (NV),CDIR-2014-02-18/html/CDIR-2014-02-18-NV.htm
113,"February 18, 2014","Senator Dean Heller, Biography",SENATOR,Dean Heller ,Nevada (NV),CDIR-2014-02-18/html/CDIR-2014-02-18-NV-S-2.htm
113,"February 18, 2014","Senator Harry Reid, Biography",SENATOR,Harry Reid ,Nevada (NV),CDIR-2014-02-18/html/CDIR-2014-02-18-NV-S-1.htm
113,"February 18, 2014","Representative Mark E. Amodei, Biography",REPRESENTATIVE,Mark E. Amodei ,Nevada (NV),CDIR-2014-02-18/html/CDIR-2014-02-18-NV-H-2.htm
113,"February 18, 2014","Representative Joseph J. Heck, Biography",REPRESENTATIVE,Joseph J. Heck ,Nevada (NV),CDIR-2014-02-18/html/CDIR-2014-02-18-NV-H-3.htm
113,"February 18, 2014","Representative Steven A. Horsford, Biography",REPRESENTATIVE,Steven A. Horsford ,Nevada (NV),CDIR-2014-02-18/html/CDIR-2014-02-18-NV-H-4.htm
113,"February 18, 2014","Representative Dina Titus, Biography",REPRESENTATIVE,Dina Titus ,Nevada (NV),CDIR-2014-02-18/html/CDIR-2014-02-18-NV-H-1.htm
113,"February 18, 2014",New Hampshire State Delegation,STATEDELEGATION,New Hampshire (NH) Congressional Delegation ,New Hampshire (NH),CDIR-2014-02-18/html/CDIR-2014-02-18-NH.htm
113,"February 18, 2014","Senator Kelly Ayotte, Biography",SENATOR,Kelly Ayotte ,New Hampshire (NH),CDIR-2014-02-18/html/CDIR-2014-02-18-NH-S-2.htm
113,"February 18, 2014","Senator Jeanne Shaheen, Biography",SENATOR,Jeanne Shaheen ,New Hampshire (NH),CDIR-2014-02-18/html/CDIR-2014-02-18-NH-S-1.htm
113,"February 18, 2014","Representative Ann M. Kuster, Biography",REPRESENTATIVE,Ann M. Kuster ,New Hampshire (NH),CDIR-2014-02-18/html/CDIR-2014-02-18-NH-H-2.htm
113,"February 18, 2014","Representative Carol Shea-Porter, Biography",REPRESENTATIVE,Carol Shea-Porter ,New Hampshire (NH),CDIR-2014-02-18/html/CDIR-2014-02-18-NH-H-1.htm
113,"February 18, 2014",New Jersey State Delegation,STATEDELEGATION,New Jersey (NJ) Congressional Delegation ,New Jersey (NJ),CDIR-2014-02-18/html/CDIR-2014-02-18-NJ.htm
113,"February 18, 2014","Senator Cory A. Booker, Biography",SENATOR,Cory A. Booker ,New Jersey (NJ),CDIR-2014-02-18/html/CDIR-2014-02-18-NJ-S-2.htm
113,"February 18, 2014","Senator Robert Menendez, Biography",SENATOR,Robert Menendez ,New Jersey (NJ),CDIR-2014-02-18/html/CDIR-2014-02-18-NJ-S-1.htm
113,"February 18, 2014","Representative Rodney P. Frelinghuysen, Biography",REPRESENTATIVE,Rodney P. Frelinghuysen ,New Jersey (NJ),CDIR-2014-02-18/html/CDIR-2014-02-18-NJ-H-11.htm
113,"February 18, 2014","Representative Scott Garrett, Biography",REPRESENTATIVE,Scott Garrett ,New Jersey (NJ),CDIR-2014-02-18/html/CDIR-2014-02-18-NJ-H-5.htm
113,"February 18, 2014","Representative Rush Holt, Biography",REPRESENTATIVE,Rush Holt ,New Jersey (NJ),CDIR-2014-02-18/html/CDIR-2014-02-18-NJ-H-12.htm
113,"February 18, 2014","Representative Leonard Lance, Biography",REPRESENTATIVE,Leonard Lance ,New Jersey (NJ),CDIR-2014-02-18/html/CDIR-2014-02-18-NJ-H-7.htm
113,"February 18, 2014","Representative Frank A. Lobiondo, Biography",REPRESENTATIVE,Frank A. LoBiondo ,New Jersey (NJ),CDIR-2014-02-18/html/CDIR-2014-02-18-NJ-H-2.htm
113,"February 18, 2014","Representative Frank Pallone, Jr., Biography",REPRESENTATIVE,"Frank Pallone, Jr. ",New Jersey (NJ),CDIR-2014-02-18/html/CDIR-2014-02-18-NJ-H-6.htm
113,"February 18, 2014","Representative Bill Pascrell, Jr., Biography",REPRESENTATIVE,"Bill Pascrell, Jr. ",New Jersey (NJ),CDIR-2014-02-18/html/CDIR-2014-02-18-NJ-H-9.htm
113,"February 18, 2014","Representative Donald M. Payne, Jr., Biography",REPRESENTATIVE,"Donald M. Payne, Jr. ",New Jersey (NJ),CDIR-2014-02-18/html/CDIR-2014-02-18-NJ-H-10.htm
113,"February 18, 2014","Representative Jon Runyan, Biography",REPRESENTATIVE,Jon Runyan ,New Jersey (NJ),CDIR-2014-02-18/html/CDIR-2014-02-18-NJ-H-3.htm
113,"February 18, 2014","Representative Albio Sires, Biography",REPRESENTATIVE,Albio Sires ,New Jersey (NJ),CDIR-2014-02-18/html/CDIR-2014-02-18-NJ-H-8.htm
113,"February 18, 2014","Representative Christopher H. Smith, Biography",REPRESENTATIVE,Christopher H. Smith ,New Jersey (NJ),CDIR-2014-02-18/html/CDIR-2014-02-18-NJ-H-4.htm
113,"February 18, 2014","Representative Vacant, Biography",REPRESENTATIVE,VACANT (NJ) ,New Jersey (NJ),CDIR-2014-02-18/html/CDIR-2014-02-18-NJ-H-1.htm
113,"February 18, 2014",New Mexico State Delegation,STATEDELEGATION,New Mexico (NM) Congressional Delegation ,New Mexico (NM),CDIR-2014-02-18/html/CDIR-2014-02-18-NM.htm
113,"February 18, 2014","Senator Martin Heinrich, Biography",SENATOR,Martin Heinrich ,New Mexico (NM),CDIR-2014-02-18/html/CDIR-2014-02-18-NM-S-2.htm
113,"February 18, 2014","Senator Tom Udall, Biography",SENATOR,Tom Udall ,New Mexico (NM),CDIR-2014-02-18/html/CDIR-2014-02-18-NM-S-1.htm
113,"February 18, 2014","Representative Michelle Lujan Grisham, Biography",REPRESENTATIVE,Michelle Lujan Grisham ,New Mexico (NM),CDIR-2014-02-18/html/CDIR-2014-02-18-NM-H-1.htm
113,"February 18, 2014","Representative Ben Ray Lujan, Biography",REPRESENTATIVE,Ben Ray Lujan ,New Mexico (NM),CDIR-2014-02-18/html/CDIR-2014-02-18-NM-H-3.htm
113,"February 18, 2014","Representative Stevan Pearce, Biography",REPRESENTATIVE,Stevan Pearce ,New Mexico (NM),CDIR-2014-02-18/html/CDIR-2014-02-18-NM-H-2.htm
113,"February 18, 2014",New York State Delegation,STATEDELEGATION,New York (NY) Congressional Delegation ,New York (NY),CDIR-2014-02-18/html/CDIR-2014-02-18-NY.htm
113,"February 18, 2014","Senator Kirsten E. Gillibrand, Biography",SENATOR,Kirsten E. Gillibrand ,New York (NY),CDIR-2014-02-18/html/CDIR-2014-02-18-NY-S-2.htm
113,"February 18, 2014","Senator Charles E. Schumer, Biography",SENATOR,Charles E. Schumer ,New York (NY),CDIR-2014-02-18/html/CDIR-2014-02-18-NY-S-1.htm
113,"February 18, 2014","Representative Timothy H. Bishop, Biography",REPRESENTATIVE,Timothy H. Bishop ,New York (NY),CDIR-2014-02-18/html/CDIR-2014-02-18-NY-H-1.htm
113,"February 18, 2014","Representative Yvette D. Clarke, Biography",REPRESENTATIVE,Yvette D. Clarke ,New York (NY),CDIR-2014-02-18/html/CDIR-2014-02-18-NY-H-9.htm
113,"February 18, 2014","Representative Chris Collins, Biography",REPRESENTATIVE,Chris Collins ,New York (NY),CDIR-2014-02-18/html/CDIR-2014-02-18-NY-H-27.htm
113,"February 18, 2014","Representative Joseph Crowley, Biography",REPRESENTATIVE,Joseph Crowley ,New York (NY),CDIR-2014-02-18/html/CDIR-2014-02-18-NY-H-14.htm
113,"February 18, 2014","Representative Eliot L. Engel, Biography",REPRESENTATIVE,Eliot L. Engel ,New York (NY),CDIR-2014-02-18/html/CDIR-2014-02-18-NY-H-16.htm
113,"February 18, 2014","Representative Christopher P. Gibson, Biography",REPRESENTATIVE,Christopher P. Gibson ,New York (NY),CDIR-2014-02-18/html/CDIR-2014-02-18-NY-H-19.htm
113,"February 18, 2014","Representative Michael G. Grimm, Biography",REPRESENTATIVE,Michael G. Grimm ,New York (NY),CDIR-2014-02-18/html/CDIR-2014-02-18-NY-H-11.htm
113,"February 18, 2014","Representative Richard L. Hanna, Biography",REPRESENTATIVE,Richard L. Hanna ,New York (NY),CDIR-2014-02-18/html/CDIR-2014-02-18-NY-H-22.htm
113,"February 18, 2014","Representative Brian Higgins, Biography",REPRESENTATIVE,Brian Higgins ,New York (NY),CDIR-2014-02-18/html/CDIR-2014-02-18-NY-H-26.htm
113,"February 18, 2014","Representative Thomas W. Reed II, Biography",REPRESENTATIVE,THOMAS W. REED II (NY) ,New York (NY),CDIR-2014-02-18/html/CDIR-2014-02-18-NY-H-23.htm
113,"February 18, 2014","Representative Steve Israel, Biography",REPRESENTATIVE,Steve Israel ,New York (NY),CDIR-2014-02-18/html/CDIR-2014-02-18-NY-H-3.htm
113,"February 18, 2014","Representative Hakeem S. Jeffries, Biography",REPRESENTATIVE,Hakeem S. Jeffries ,New York (NY),CDIR-2014-02-18/html/CDIR-2014-02-18-NY-H-8.htm
113,"February 18, 2014","Representative Peter T. King, Biography",REPRESENTATIVE,Peter T. King ,New York (NY),CDIR-2014-02-18/html/CDIR-2014-02-18-NY-H-2.htm
113,"February 18, 2014","Representative Nita M. Lowey, Biography",REPRESENTATIVE,Nita M. Lowey ,New York (NY),CDIR-2014-02-18/html/CDIR-2014-02-18-NY-H-17.htm
113,"February 18, 2014","Representative Daniel B. Maffei, Biography",REPRESENTATIVE,Daniel B. Maffei ,New York (NY),CDIR-2014-02-18/html/CDIR-2014-02-18-NY-H-24.htm
113,"February 18, 2014","Representative Carolyn B. Maloney, Biography",REPRESENTATIVE,Carolyn B. Maloney ,New York (NY),CDIR-2014-02-18/html/CDIR-2014-02-18-NY-H-12.htm
113,"February 18, 2014","Representative Sean Patrick Maloney, Biography",REPRESENTATIVE,Sean Patrick Maloney ,New York (NY),CDIR-2014-02-18/html/CDIR-2014-02-18-NY-H-18.htm
113,"February 18, 2014","Representative Carolyn Mccarthy, Biography",REPRESENTATIVE,Carolyn McCarthy ,New York (NY),CDIR-2014-02-18/html/CDIR-2014-02-18-NY-H-4.htm
113,"February 18, 2014","Representative Gregory W. Meeks, Biography",REPRESENTATIVE,Gregory W. Meeks ,New York (NY),CDIR-2014-02-18/html/CDIR-2014-02-18-NY-H-5.htm
113,"February 18, 2014","Representative Grace Meng, Biography",REPRESENTATIVE,Grace Meng ,New York (NY),CDIR-2014-02-18/html/CDIR-2014-02-18-NY-H-6.htm
113,"February 18, 2014","Representative Jerrold Nadler, Biography",REPRESENTATIVE,Jerrold Nadler ,New York (NY),CDIR-2014-02-18/html/CDIR-2014-02-18-NY-H-10.htm
113,"February 18, 2014","Representative William L. Owens, Biography",REPRESENTATIVE,William L. Owens ,New York (NY),CDIR-2014-02-18/html/CDIR-2014-02-18-NY-H-21.htm
113,"February 18, 2014","Representative Charles B. Rangel, Biography",REPRESENTATIVE,Charles B. Rangel ,New York (NY),CDIR-2014-02-18/html/CDIR-2014-02-18-NY-H-13.htm
113,"February 18, 2014","Representative Jose E. Serrano, Biography",REPRESENTATIVE,Jose E. Serrano ,New York (NY),CDIR-2014-02-18/html/CDIR-2014-02-18-NY-H-15.htm
113,"February 18, 2014","Representative Louise Mcintosh Slaughter, Biography",REPRESENTATIVE,Louise McIntosh Slaughter ,New York (NY),CDIR-2014-02-18/html/CDIR-2014-02-18-NY-H-25.htm
113,"February 18, 2014","Representative Paul Tonko, Biography",REPRESENTATIVE,Paul Tonko ,New York (NY),CDIR-2014-02-18/html/CDIR-2014-02-18-NY-H-20.htm
113,"February 18, 2014","Representative Nydia M. Velazquez, Biography",REPRESENTATIVE,Nydia M. Velazquez ,New York (NY),CDIR-2014-02-18/html/CDIR-2014-02-18-NY-H-7.htm
113,"February 18, 2014",North Carolina State Delegation,STATEDELEGATION,North Carolina (NC) Congressional Delegation ,North Carolina (NC),CDIR-2014-02-18/html/CDIR-2014-02-18-NC.htm
113,"February 18, 2014","Senator Richard Burr, Biography",SENATOR,Richard Burr ,North Carolina (NC),CDIR-2014-02-18/html/CDIR-2014-02-18-NC-S-1.htm
113,"February 18, 2014","Senator Kay R. Hagan, Biography",SENATOR,Kay R. Hagan ,North Carolina (NC),CDIR-2014-02-18/html/CDIR-2014-02-18-NC-S-2.htm
113,"February 18, 2014","Representative G. K. Butterfield, Biography",REPRESENTATIVE,G. K. Butterfield ,North Carolina (NC),CDIR-2014-02-18/html/CDIR-2014-02-18-NC-H-1.htm
113,"February 18, 2014","Representative Howard Coble, Biography",REPRESENTATIVE,Howard Coble ,North Carolina (NC),CDIR-2014-02-18/html/CDIR-2014-02-18-NC-H-6.htm
113,"February 18, 2014","Representative Renee L. Ellmers, Biography",REPRESENTATIVE,Renee L. Ellmers ,North Carolina (NC),CDIR-2014-02-18/html/CDIR-2014-02-18-NC-H-2.htm
113,"February 18, 2014","Representative Virginia Foxx, Biography",REPRESENTATIVE,Virginia Foxx ,North Carolina (NC),CDIR-2014-02-18/html/CDIR-2014-02-18-NC-H-5.htm
113,"February 18, 2014","Representative George Holding, Biography",REPRESENTATIVE,George Holding ,North Carolina (NC),CDIR-2014-02-18/html/CDIR-2014-02-18-NC-H-12.htm
113,"February 18, 2014","Representative Richard Hudson, Biography",REPRESENTATIVE,Richard Hudson ,North Carolina (NC),CDIR-2014-02-18/html/CDIR-2014-02-18-NC-H-8.htm
113,"February 18, 2014","Representative Walter B. Jones Jr., Biography",REPRESENTATIVE,Walter B. Jones Jr. ,North Carolina (NC),CDIR-2014-02-18/html/CDIR-2014-02-18-NC-H-3.htm
113,"February 18, 2014","Representative Patrick T. Mchenry, Biography",REPRESENTATIVE,Patrick T. McHenry ,North Carolina (NC),CDIR-2014-02-18/html/CDIR-2014-02-18-NC-H-10.htm
113,"February 18, 2014","Representative Mike Mcintyre, Biography",REPRESENTATIVE,Mike McIntyre ,North Carolina (NC),CDIR-2014-02-18/html/CDIR-2014-02-18-NC-H-7.htm
113,"February 18, 2014","Representative Mark Meadows, Biography",REPRESENTATIVE,Mark Meadows ,North Carolina (NC),CDIR-2014-02-18/html/CDIR-2014-02-18-NC-H-11.htm
113,"February 18, 2014","Representative Robert Pittenger, Biography",REPRESENTATIVE,Robert Pittenger ,North Carolina (NC),CDIR-2014-02-18/html/CDIR-2014-02-18-NC-H-9.htm
113,"February 18, 2014","Representative David E. Price, Biography",REPRESENTATIVE,David E. Price ,North Carolina (NC),CDIR-2014-02-18/html/CDIR-2014-02-18-NC-H-4.htm
113,"February 18, 2014",North Dakota State Delegation,STATEDELEGATION,North Dakota (ND) Congressional Delegation ,North Dakota (ND),CDIR-2014-02-18/html/CDIR-2014-02-18-ND.htm
113,"February 18, 2014","Senator Heidi Heitkamp, Biography",SENATOR,Heidi Heitkamp ,North Dakota (ND),CDIR-2014-02-18/html/CDIR-2014-02-18-ND-S-2.htm
113,"February 18, 2014","Senator John Hoeven, Biography",SENATOR,John Hoeven ,North Dakota (ND),CDIR-2014-02-18/html/CDIR-2014-02-18-ND-S-1.htm
113,"February 18, 2014","Representative Kevin Cramer, Biography",REPRESENTATIVE,Kevin Cramer ,North Dakota (ND),CDIR-2014-02-18/html/CDIR-2014-02-18-ND-H-0.htm
113,"February 18, 2014",Northern Mariana Islands State Delegation,STATEDELEGATION,Northern Mariana Islands (MP) Congressional Delegation ,Northern Mariana Islands (MP),CDIR-2014-02-18/html/CDIR-2014-02-18-MP.htm
113,"February 18, 2014","Delegate Gregorio Kilili Camacho Sablan, Biography",DELEGATE,GREGORIO KILILI CAMACHO SABLAN (MP) ,Northern Mariana Islands (MP),CDIR-2014-02-18/html/CDIR-2014-02-18-MP-H.htm
113,"February 18, 2014",Ohio State Delegation,STATEDELEGATION,Ohio (OH) Congressional Delegation ,Ohio (OH),CDIR-2014-02-18/html/CDIR-2014-02-18-OH.htm
113,"February 18, 2014","Senator Sherrod Brown, Biography",SENATOR,Sherrod Brown ,Ohio (OH),CDIR-2014-02-18/html/CDIR-2014-02-18-OH-S-1.htm
113,"February 18, 2014","Senator Rob Portman, Biography",SENATOR,Rob Portman ,Ohio (OH),CDIR-2014-02-18/html/CDIR-2014-02-18-OH-S-2.htm
113,"February 18, 2014","Representative Joyce Beatty, Biography",REPRESENTATIVE,Joyce Beatty ,Ohio (OH),CDIR-2014-02-18/html/CDIR-2014-02-18-OH-H-3.htm
113,"February 18, 2014","Representative John A. Boehner, Biography",REPRESENTATIVE,John A. Boehner ,Ohio (OH),CDIR-2014-02-18/html/CDIR-2014-02-18-OH-H-8.htm
113,"February 18, 2014","Representative Steve Chabot, Biography",REPRESENTATIVE,Steve Chabot ,Ohio (OH),CDIR-2014-02-18/html/CDIR-2014-02-18-OH-H-1.htm
113,"February 18, 2014","Representative Marcia L. Fudge, Biography",REPRESENTATIVE,Marcia L. Fudge ,Ohio (OH),CDIR-2014-02-18/html/CDIR-2014-02-18-OH-H-11.htm
113,"February 18, 2014","Representative Bob Gibbs, Biography",REPRESENTATIVE,Bob Gibbs ,Ohio (OH),CDIR-2014-02-18/html/CDIR-2014-02-18-OH-H-7.htm
113,"February 18, 2014","Representative William L. ``bill'' Johnson, Biography",REPRESENTATIVE,WILLIAM L. ``BILL'' JOHNSON (OH) ,Ohio (OH),CDIR-2014-02-18/html/CDIR-2014-02-18-OH-H-6.htm
113,"February 18, 2014","Representative James D. ``jim'' Jordan, Biography",REPRESENTATIVE,JAMES D. ``JIM'' JORDAN (OH) ,Ohio (OH),CDIR-2014-02-18/html/CDIR-2014-02-18-OH-H-4.htm
113,"February 18, 2014","Representative David P. Joyce, Biography",REPRESENTATIVE,David P. Joyce ,Ohio (OH),CDIR-2014-02-18/html/CDIR-2014-02-18-OH-H-14.htm
113,"February 18, 2014","Representative Marcy Kaptur, Biography",REPRESENTATIVE,Marcy Kaptur ,Ohio (OH),CDIR-2014-02-18/html/CDIR-2014-02-18-OH-H-9.htm
113,"February 18, 2014","Representative Robert E. ``bob'' Latta, Biography",REPRESENTATIVE,ROBERT E. ``BOB'' LATTA (OH) ,Ohio (OH),CDIR-2014-02-18/html/CDIR-2014-02-18-OH-H-5.htm
113,"February 18, 2014","Representative James B. Renacci, Biography",REPRESENTATIVE,James B. Renacci ,Ohio (OH),CDIR-2014-02-18/html/CDIR-2014-02-18-OH-H-16.htm
113,"February 18, 2014","Representative Tim Ryan, Biography",REPRESENTATIVE,Tim Ryan ,Ohio (OH),CDIR-2014-02-18/html/CDIR-2014-02-18-OH-H-13.htm
113,"February 18, 2014","Representative Steve Stivers, Biography",REPRESENTATIVE,Steve Stivers ,Ohio (OH),CDIR-2014-02-18/html/CDIR-2014-02-18-OH-H-15.htm
113,"February 18, 2014","Representative Patrick J. Tiberi, Biography",REPRESENTATIVE,Patrick J. Tiberi ,Ohio (OH),CDIR-2014-02-18/html/CDIR-2014-02-18-OH-H-12.htm
113,"February 18, 2014","Representative Michael R. Turner, Biography",REPRESENTATIVE,Michael R. Turner ,Ohio (OH),CDIR-2014-02-18/html/CDIR-2014-02-18-OH-H-10.htm
113,"February 18, 2014","Representative Brad R. Wenstrup, Biography",REPRESENTATIVE,Brad R. Wenstrup ,Ohio (OH),CDIR-2014-02-18/html/CDIR-2014-02-18-OH-H-2.htm
113,"February 18, 2014",Oklahoma State Delegation,STATEDELEGATION,Oklahoma (OK) Congressional Delegation ,Oklahoma (OK),CDIR-2014-02-18/html/CDIR-2014-02-18-OK.htm
113,"February 18, 2014","Senator Tom Coburn, Biography",SENATOR,Tom Coburn ,Oklahoma (OK),CDIR-2014-02-18/html/CDIR-2014-02-18-OK-S-2.htm
113,"February 18, 2014","Senator James M. Inhofe, Biography",SENATOR,James M. Inhofe ,Oklahoma (OK),CDIR-2014-02-18/html/CDIR-2014-02-18-OK-S-1.htm
113,"February 18, 2014","Representative Jim Bridenstine, Biography",REPRESENTATIVE,Jim Bridenstine ,Oklahoma (OK),CDIR-2014-02-18/html/CDIR-2014-02-18-OK-H-1.htm
113,"February 18, 2014","Representative Tom Cole, Biography",REPRESENTATIVE,Tom Cole ,Oklahoma (OK),CDIR-2014-02-18/html/CDIR-2014-02-18-OK-H-4.htm
113,"February 18, 2014","Representative James Lankford, Biography",REPRESENTATIVE,James Lankford ,Oklahoma (OK),CDIR-2014-02-18/html/CDIR-2014-02-18-OK-H-5.htm
113,"February 18, 2014","Representative Frank D. Lucas, Biography",REPRESENTATIVE,Frank D. Lucas ,Oklahoma (OK),CDIR-2014-02-18/html/CDIR-2014-02-18-OK-H-3.htm
113,"February 18, 2014","Representative Markwayne Mullin, Biography",REPRESENTATIVE,Markwayne Mullin ,Oklahoma (OK),CDIR-2014-02-18/html/CDIR-2014-02-18-OK-H-2.htm
113,"February 18, 2014",Oregon State Delegation,STATEDELEGATION,Oregon (OR) Congressional Delegation ,Oregon (OR),CDIR-2014-02-18/html/CDIR-2014-02-18-OR.htm
113,"February 18, 2014","Senator Jeff Merkley, Biography",SENATOR,Jeff Merkley ,Oregon (OR),CDIR-2014-02-18/html/CDIR-2014-02-18-OR-S-2.htm
113,"February 18, 2014","Senator Ron Wyden, Biography",SENATOR,Ron Wyden ,Oregon (OR),CDIR-2014-02-18/html/CDIR-2014-02-18-OR-S-1.htm
113,"February 18, 2014","Representative Earl Blumenauer, Biography",REPRESENTATIVE,Earl Blumenauer ,Oregon (OR),CDIR-2014-02-18/html/CDIR-2014-02-18-OR-H-3.htm
113,"February 18, 2014","Representative Suzanne Bonamici, Biography",REPRESENTATIVE,Suzanne Bonamici ,Oregon (OR),CDIR-2014-02-18/html/CDIR-2014-02-18-OR-H-1.htm
113,"February 18, 2014","Representative Peter A. Defazio, Biography",REPRESENTATIVE,Peter A. DeFazio ,Oregon (OR),CDIR-2014-02-18/html/CDIR-2014-02-18-OR-H-4.htm
113,"February 18, 2014","Representative Kurt Schrader, Biography",REPRESENTATIVE,Kurt Schrader ,Oregon (OR),CDIR-2014-02-18/html/CDIR-2014-02-18-OR-H-5.htm
113,"February 18, 2014","Representative Greg Walden, Biography",REPRESENTATIVE,Greg Walden ,Oregon (OR),CDIR-2014-02-18/html/CDIR-2014-02-18-OR-H-2.htm
113,"February 18, 2014",Pennsylvania State Delegation,STATEDELEGATION,Pennsylvania (PA) Congressional Delegation ,Pennsylvania (PA),CDIR-2014-02-18/html/CDIR-2014-02-18-PA.htm
113,"February 18, 2014","Senator Robert P. Casey Jr., Biography",SENATOR,Robert P. Casey Jr. ,Pennsylvania (PA),CDIR-2014-02-18/html/CDIR-2014-02-18-PA-S-1.htm
113,"February 18, 2014","Senator Patrick J. Toomey, Biography",SENATOR,Patrick J. Toomey ,Pennsylvania (PA),CDIR-2014-02-18/html/CDIR-2014-02-18-PA-S-2.htm
113,"February 18, 2014","Representative Lou Barletta, Biography",REPRESENTATIVE,Lou Barletta ,Pennsylvania (PA),CDIR-2014-02-18/html/CDIR-2014-02-18-PA-H-11.htm
113,"February 18, 2014","Representative Robert A. Brady, Biography",REPRESENTATIVE,Robert A. Brady ,Pennsylvania (PA),CDIR-2014-02-18/html/CDIR-2014-02-18-PA-H-1.htm
113,"February 18, 2014","Representative Matt Cartwright, Biography",REPRESENTATIVE,Matt Cartwright ,Pennsylvania (PA),CDIR-2014-02-18/html/CDIR-2014-02-18-PA-H-17.htm
113,"February 18, 2014","Representative Charles W. Dent, Biography",REPRESENTATIVE,Charles W. Dent ,Pennsylvania (PA),CDIR-2014-02-18/html/CDIR-2014-02-18-PA-H-15.htm
113,"February 18, 2014","Representative Michael F. Doyle, Biography",REPRESENTATIVE,Michael F. Doyle ,Pennsylvania (PA),CDIR-2014-02-18/html/CDIR-2014-02-18-PA-H-14.htm
