congress,publishdate,title,section,browseline1,firstpage,textfile
115,"October 29, 2018",Alaska State Delegation,STATEDELEGATION,Alaska (AK) Congressional Delegation ,Alaska (AK),CDIR-2018-10-29/html/CDIR-2018-10-29-AK.htm
115,"October 29, 2018","Senator Lisa Murkowski, Biography",SENATOR,Lisa Murkowski ,Alaska (AK),CDIR-2018-10-29/html/CDIR-2018-10-29-AK-S-1.htm
115,"October 29, 2018","Senator Dan Sullivan, Biography",SENATOR,Dan Sullivan ,Alaska (AK),CDIR-2018-10-29/html/CDIR-2018-10-29-AK-S-2.htm
115,"October 29, 2018","Representative Don Young, Biography",REPRESENTATIVE,Don Young ,Alaska (AK),CDIR-2018-10-29/html/CDIR-2018-10-29-AK-H-0.htm
115,"October 29, 2018",American Samoa State Delegation,STATEDELEGATION,American Samoa (AS) Congressional Delegation ,American Samoa (AS),CDIR-2018-10-29/html/CDIR-2018-10-29-AS.htm
115,"October 29, 2018","Delegate Aumua Amata Coleman Radewagen, Biography",DELEGATE,Aumua Amata Coleman Radewagen ,American Samoa (AS),CDIR-2018-10-29/html/CDIR-2018-10-29-AS-H.htm
115,"October 29, 2018",Arizona State Delegation,STATEDELEGATION,Arizona (AZ) Congressional Delegation ,Arizona (AZ),CDIR-2018-10-29/html/CDIR-2018-10-29-AZ.htm
115,"October 29, 2018","Senator Jeff Flake, Biography",SENATOR,Jeff Flake ,Arizona (AZ),CDIR-2018-10-29/html/CDIR-2018-10-29-AZ-S-2.htm
115,"October 29, 2018","Senator John Mccain, Biography",SENATOR,John McCain ,Arizona (AZ),CDIR-2018-10-29/html/CDIR-2018-10-29-AZ-S-1.htm
115,"October 29, 2018","Representative Andy Biggs, Biography",REPRESENTATIVE,Andy Biggs ,Arizona (AZ),CDIR-2018-10-29/html/CDIR-2018-10-29-AZ-H-5.htm
115,"October 29, 2018","Representative Ruben Gallego, Biography",REPRESENTATIVE,Ruben Gallego ,Arizona (AZ),CDIR-2018-10-29/html/CDIR-2018-10-29-AZ-H-7.htm
115,"October 29, 2018","Representative Paul A. Gosar, Biography",REPRESENTATIVE,Paul A. Gosar ,Arizona (AZ),CDIR-2018-10-29/html/CDIR-2018-10-29-AZ-H-4.htm
